arms.left.joint_margin_min_rad,arms.left.position_error_norm_mean_m,arms.left.position_error_norm_peak_m,arms.left.position_error_norm_rmse_m,arms.left.rotation_error_norm_mean_rad,arms.left.rotation_error_norm_peak_rad,arms.left.rotation_error_norm_rmse_rad,arms.left.velocity_saturation_overall_pct,arms.right.joint_margin_min_rad,arms.right.position_error_norm_mean_m,arms.right.position_error_norm_peak_m,arms.right.position_error_norm_rmse_m,arms.right.rotation_error_norm_mean_rad,arms.right.rotation_error_norm_peak_rad,arms.right.rotation_error_norm_rmse_rad,arms.right.velocity_saturation_overall_pct,config_id,disqualification.0,disqualification.1,disqualification.2,disqualification.3,disqualification.4,disqualification.x,disqualification.y,disqualification.z,gains.DAMPING,gains.KD_POS,gains.KD_ROT,gains.KP_POS,gains.KP_ROT,gains.K_NULL,headroom_mean_frac,headroom_p95_frac,settle_duration_s,settled,stage,valid,velocity_saturation_overall_pct,warning_reasons.0,warning_reasons.1,warning_reasons.2,warning_reasons.3,warning_reasons.x,warning_reasons.y,warning_reasons.z,worst_arm_joint_margin_min_rad,worst_arm_pos_rmse_m,worst_arm_rot_rmse_rad
-0.006637777098009501,0.10347096382633138,0.2581709138738311,0.1275852672497497,0.015280740469659026,0.03864313292121569,0.01883676780635614,0.5851428571428572,-0.0070020356127624694,0.10292347826169201,0.25801376088228944,0.1270660245222155,0.015428474270754305,0.03898237226315933,0.019079697977782507,0.5325714285714286,s0_baseline,,,,,,,,,0.05,0.3,0.3,2.0,2.0,1.0,0.30824288255607235,0.9349719856583577,9.023999999999683,True,0,False,0.5851428571428572,negative joint margin,,,,,,,-0.0070020356127624694,0.1275852672497497,0.019079697977782507
0.005082599730843906,0.16180044621749756,0.2770675157971598,0.1789625017333013,0.005194978815164529,0.014647212796700514,0.0059285074864425845,0.0,-0.006635720345553153,0.16151005645811906,0.2770698640465438,0.1786715114857521,0.005261057775277159,0.014827749170014655,0.006003941442384249,0.0,s1_kp0.5_kd0,not settled,,,,,,,,0.05,0.0,0.3,0.5,2.0,1.0,0.20440252384677016,0.5542082474186208,15.000000000001679,False,1,False,0.0,settling timeout,negative joint margin,,,,,,-0.006635720345553153,0.1789625017333013,0.006003941442384249
0.009830946843424115,0.15195318198369828,0.2749648011594536,0.1694440639028474,0.005018303300414972,0.014033291358292434,0.0057263507448667575,0.0,-0.006738288972929496,0.15167206966041244,0.27494509367366177,0.1691476319815822,0.005102381366953007,0.013909220895070585,0.0057897881545299025,0.0,s1_kp0.5_kd0.15,not settled,,,,,,,,0.05,0.15,0.3,0.5,2.0,1.0,0.20056706722411027,0.5336869869072279,15.000000000001679,False,1,False,0.0,settling timeout,negative joint margin,,,,,,-0.006738288972929496,0.1694440639028474,0.0057897881545299025
0.006641911122905242,0.14310929748160767,0.2729280805477448,0.16102966451925463,0.004993609613276351,0.01387171164979917,0.005718254417270615,0.0,-0.007087552974061939,0.14281132711878058,0.2726723050007578,0.1606980098516365,0.0051839930598615224,0.013721820398062391,0.005905127539343813,0.0,s1_kp0.5_kd0.3,not settled,,,,,,,,0.05,0.3,0.3,0.5,2.0,1.0,0.2007078717973557,0.5277635543051545,15.000000000001679,False,1,False,0.0,settling timeout,negative joint margin,,,,,,-0.007087552974061939,0.16102966451925463,0.005905127539343813
0.004453397922273172,0.13509757635737318,0.27117116149929843,0.15363795590315463,0.005070719136593693,0.0140145158876329,0.005840503766652411,0.0,-0.007255956703089872,0.1347894856411315,0.2708316742307333,0.15329005925024036,0.005377834481048139,0.013833713321903243,0.0061787809198287375,0.0,s1_kp0.5_kd0.45,not settled,,,,,,,,0.05,0.45,0.3,0.5,2.0,1.0,0.20364007176649285,0.5317970786296924,15.000000000001679,False,1,False,0.0,settling timeout,negative joint margin,,,,,,-0.007255956703089872,0.15363795590315463,0.0061787809198287375
0.0025457854582473516,0.12783962453903921,0.2696510823097994,0.1472425570698906,0.005209087330617058,0.014337748487510902,0.006042677807827464,0.0,-0.007317684758671117,0.1275358636023516,0.2693028808446524,0.1468999256653705,0.005612680661294674,0.014123501126166409,0.0065227779147299155,0.0,s1_kp0.5_kd0.6,not settled,,,,,,,,0.05,0.6,0.3,0.5,2.0,1.0,0.2082244484194003,0.5420410379141778,15.000000000001679,False,1,False,0.0,settling timeout,negative joint margin,,,,,,-0.007317684758671117,0.1472425570698906,0.0065227779147299155
0.0014822042817645986,0.1213325623748453,0.26832245931290044,0.14182155042933944,0.005380240829478471,0.014750435814723444,0.006290104216413921,0.0,-0.007216480604363973,0.12105095784907166,0.2679998938656366,0.1415028237868474,0.005851323914086027,0.01450271320169112,0.00688104191188805,0.0,s1_kp0.5_kd0.75,not settled,,,,,,,,0.05,0.75,0.3,0.5,2.0,1.0,0.21360243659733813,0.5560129160726585,15.000000000001679,False,1,False,0.0,settling timeout,negative joint margin,,,,,,-0.007216480604363973,0.14182155042933944,0.00688104191188805
0.0013860124423206166,0.11564861055841044,0.26715053396669225,0.13733832650444605,0.005566215454592307,0.015192264193908437,0.006561117662495051,0.0,-0.0067594743835770466,0.11541736707189328,0.2668699283873384,0.13705885000747034,0.006074378362973864,0.014913528702066534,0.007221619623628207,0.0,s1_kp0.5_kd0.9,not settled,,,,,,,,0.05,0.9,0.3,0.5,2.0,1.0,0.21922434322690687,0.5709944261449948,15.000000000001679,False,1,False,0.0,settling timeout,negative joint margin,,,,,,-0.0067594743835770466,0.13733832650444605,0.007221619623628207
-0.004338290351259655,0.14543520588923156,0.26627968201002744,0.1618711108420529,0.007350828795717916,0.020375203669666168,0.008536473066508935,0.0,-0.006911405435592766,0.1451271673906585,0.26628755591633213,0.16157389156318627,0.0072588092740395955,0.017756217723638185,0.00829222354835571,0.0,s1_kp0.7671_kd0,not settled,,,,,,,,0.05,0.0,0.3,0.7671,2.0,1.0,0.24161373462815536,0.6978650422245675,15.000000000001679,False,1,False,0.0,settling timeout,negative joint margin,,,,,,-0.006911405435592766,0.1618711108420529,0.008536473066508935
0.0054590342912508305,0.1389508368650159,0.2661792042104862,0.15608657221112612,0.007097393754906368,0.019137912340570197,0.008248681233953361,0.0,-0.005692665798119556,0.13857011479404252,0.2660023803781624,0.1556844856808908,0.007301555058182723,0.018904044355685417,0.00843316998613791,0.0,s1_kp0.7671_kd0.15,not settled,,,,,,,,0.05,0.15,0.3,0.7671,2.0,1.0,0.23719697315301558,0.6731116252971955,15.000000000001679,False,1,False,0.0,settling timeout,negative joint margin,,,,,,-0.005692665798119556,0.15608657221112612,0.00843316998613791
